Wiek;Płeć;Okres;Miesiąc;Rok;Bezrobotni
Od 35 Do 44 Lat;Mężczyźni;26.08.2008;sie;2008;476000
Od 45 Do 54 Lat;Mężczyźni;27.08.2008;sie;2008;475000
Od 55 Do 64 Lat;Mężczyźni;28.08.2008;sie;2008;404000
Od 65 Lat Wzwyż;Mężczyźni;29.08.2008;sie;2008;97000
Od 16 Do 19 Lat;Kobiety;30.08.2008;sie;2008;69000
Od 20 Do 24 Lat;Kobiety;31.08.2008;sie;2008;262000
Od 25 Do 34 Lat;Kobiety;01.09.2008;wrz;2008;444000
Od 35 Do 44 Lat;Kobiety;02.09.2008;wrz;2008;451000
Od 45 Do 54 Lat;Kobiety;03.09.2008;wrz;2008;470000
Od 55 Do 64 Lat;Kobiety;04.09.2008;wrz;2008;328000
Od 65 Lat Wzwyż;Kobiety;05.09.2008;wrz;2008;191000
Od 16 Do 19 Lat;Mężczyźni;06.09.2008;wrz;2008;166000
Od 20 Do 24 Lat;Mężczyźni;07.09.2008;wrz;2008;436000
Od 25 Do 34 Lat;Mężczyźni;08.09.2008;wrz;2008;528000
Od 35 Do 44 Lat;Mężczyźni;09.09.2008;wrz;2008;479000
Od 45 Do 54 Lat;Mężczyźni;10.09.2008;wrz;2008;477000
Od 55 Do 64 Lat;Mężczyźni;11.09.2008;wrz;2008;395000
Od 65 Lat Wzwyż;Mężczyźni;12.09.2008;wrz;2008;125000
Od 16 Do 19 Lat;Kobiety;13.09.2008;wrz;2008;107000
Od 20 Do 24 Lat;Kobiety;14.09.2008;wrz;2008;264000
Od 25 Do 34 Lat;Kobiety;15.09.2008;wrz;2008;436000
Od 35 Do 44 Lat;Kobiety;16.09.2008;wrz;2008;464000
Od 45 Do 54 Lat;Kobiety;17.09.2008;wrz;2008;470000
Od 55 Do 64 Lat;Kobiety;18.09.2008;wrz;2008;339000
Od 65 Lat Wzwyż;Kobiety;19.09.2008;wrz;2008;219000
Od 16 Do 19 Lat;Mężczyźni;20.09.2008;wrz;2008;202000
Od 20 Do 24 Lat;Mężczyźni;21.09.2008;wrz;2008;405000
Od 25 Do 34 Lat;Mężczyźni;22.09.2008;wrz;2008;561000
Od 35 Do 44 Lat;Mężczyźni;23.09.2008;wrz;2008;471000
Od 45 Do 54 Lat;Mężczyźni;24.09.2008;wrz;2008;486000
Od 55 Do 64 Lat;Mężczyźni;25.09.2008;wrz;2008;410000
Od 65 Lat Wzwyż;Mężczyźni;26.09.2008;wrz;2008;131000
Od 16 Do 19 Lat;Kobiety;27.09.2008;wrz;2008;95000
Od 20 Do 24 Lat;Kobiety;28.09.2008;wrz;2008;256000
Od 25 Do 34 Lat;Kobiety;29.09.2008;wrz;2008;431000
Od 35 Do 44 Lat;Kobiety;30.09.2008;wrz;2008;462000
Od 45 Do 54 Lat;Kobiety;01.10.2008;paź;2008;479000
Od 55 Do 64 Lat;Kobiety;02.10.2008;paź;2008;309000
Od 65 Lat Wzwyż;Kobiety;03.10.2008;paź;2008;198000
Od 16 Do 19 Lat;Mężczyźni;04.10.2008;paź;2008;151000
Od 20 Do 24 Lat;Mężczyźni;05.10.2008;paź;2008;381000
Od 25 Do 34 Lat;Mężczyźni;06.10.2008;paź;2008;511000
Od 35 Do 44 Lat;Mężczyźni;07.10.2008;paź;2008;500000
Od 45 Do 54 Lat;Mężczyźni;08.10.2008;paź;2008;493000
Od 55 Do 64 Lat;Mężczyźni;09.10.2008;paź;2008;421000
Od 65 Lat Wzwyż;Mężczyźni;10.10.2008;paź;2008;128000
Od 16 Do 19 Lat;Kobiety;11.10.2008;paź;2008;103000
Od 20 Do 24 Lat;Kobiety;12.10.2008;paź;2008;278000
Od 25 Do 34 Lat;Kobiety;13.10.2008;paź;2008;414000
Od 35 Do 44 Lat;Kobiety;14.10.2008;paź;2008;398000
Od 45 Do 54 Lat;Kobiety;15.10.2008;paź;2008;461000
Od 55 Do 64 Lat;Kobiety;16.10.2008;paź;2008;310000
Od 65 Lat Wzwyż;Kobiety;17.10.2008;paź;2008;187000
Od 16 Do 19 Lat;Mężczyźni;18.10.2008;paź;2008;160000
Od 20 Do 24 Lat;Mężczyźni;19.10.2008;paź;2008;363000
Od 25 Do 34 Lat;Mężczyźni;20.10.2008;paź;2008;544000
Od 35 Do 44 Lat;Mężczyźni;21.10.2008;paź;2008;421000
Od 45 Do 54 Lat;Mężczyźni;22.10.2008;paź;2008;504000
Od 55 Do 64 Lat;Mężczyźni;23.10.2008;paź;2008;378000
Od 65 Lat Wzwyż;Mężczyźni;24.10.2008;paź;2008;149000
Od 16 Do 19 Lat;Kobiety;25.10.2008;paź;2008;124000
Od 20 Do 24 Lat;Kobiety;26.10.2008;paź;2008;262000
Od 25 Do 34 Lat;Kobiety;27.10.2008;paź;2008;413000
Od 35 Do 44 Lat;Kobiety;28.10.2008;paź;2008;341000
Od 45 Do 54 Lat;Kobiety;29.10.2008;paź;2008;444000
Od 55 Do 64 Lat;Kobiety;30.10.2008;paź;2008;299000
Od 65 Lat Wzwyż;Kobiety;31.10.2008;paź;2008;180000
Od 16 Do 19 Lat;Mężczyźni;01.11.2008;lis;2008;161000
Od 20 Do 24 Lat;Mężczyźni;02.11.2008;lis;2008;380000
Od 25 Do 34 Lat;Mężczyźni;03.11.2008;lis;2008;478000
Od 35 Do 44 Lat;Mężczyźni;04.11.2008;lis;2008;426000
Od 45 Do 54 Lat;Mężczyźni;05.11.2008;lis;2008;527000
Od 55 Do 64 Lat;Mężczyźni;06.11.2008;lis;2008;376000
Od 65 Lat Wzwyż;Mężczyźni;07.11.2008;lis;2008;135000
Od 16 Do 19 Lat;Kobiety;08.11.2008;lis;2008;94000
Od 20 Do 24 Lat;Kobiety;09.11.2008;lis;2008;238000
Od 25 Do 34 Lat;Kobiety;10.11.2008;lis;2008;386000
Od 35 Do 44 Lat;Kobiety;11.11.2008;lis;2008;381000
Od 45 Do 54 Lat;Kobiety;12.11.2008;lis;2008;426000
Od 55 Do 64 Lat;Kobiety;13.11.2008;lis;2008;297000
Od 65 Lat Wzwyż;Kobiety;14.11.2008;lis;2008;143000
Od 16 Do 19 Lat;Mężczyźni;15.11.2008;lis;2008;146000
Od 20 Do 24 Lat;Mężczyźni;16.11.2008;lis;2008;418000
Od 25 Do 34 Lat;Mężczyźni;17.11.2008;lis;2008;488000
Od 35 Do 44 Lat;Mężczyźni;18.11.2008;lis;2008;366000
Od 45 Do 54 Lat;Mężczyźni;19.11.2008;lis;2008;449000
Od 55 Do 64 Lat;Mężczyźni;20.11.2008;lis;2008;325000
Od 65 Lat Wzwyż;Mężczyźni;21.11.2008;lis;2008;116000
Od 16 Do 19 Lat;Kobiety;22.11.2008;lis;2008;106000
Od 20 Do 24 Lat;Kobiety;23.11.2008;lis;2008;253000
Od 25 Do 34 Lat;Kobiety;24.11.2008;lis;2008;427000
Od 35 Do 44 Lat;Kobiety;25.11.2008;lis;2008;372000
Od 45 Do 54 Lat;Kobiety;26.11.2008;lis;2008;398000
Od 55 Do 64 Lat;Kobiety;27.11.2008;lis;2008;270000
Od 65 Lat Wzwyż;Kobiety;28.11.2008;lis;2008;226000
Od 16 Do 19 Lat;Mężczyźni;29.11.2008;lis;2008;131000
Od 20 Do 24 Lat;Mężczyźni;30.11.2008;lis;2008;377000
Od 25 Do 34 Lat;Mężczyźni;01.12.2008;gru;2008;492000
Od 35 Do 44 Lat;Mężczyźni;02.12.2008;gru;2008;421000
Od 45 Do 54 Lat;Mężczyźni;03.12.2008;gru;2008;451000
Od 55 Do 64 Lat;Mężczyźni;04.12.2008;gru;2008;353000
Od 65 Lat Wzwyż;Mężczyźni;05.12.2008;gru;2008;106000
Od 16 Do 19 Lat;Kobiety;06.12.2008;gru;2008;79000
Od 20 Do 24 Lat;Kobiety;07.12.2008;gru;2008;239000
Od 25 Do 34 Lat;Kobiety;08.12.2008;gru;2008;507000
Od 35 Do 44 Lat;Kobiety;09.12.2008;gru;2008;400000
Od 45 Do 54 Lat;Kobiety;10.12.2008;gru;2008;405000
Od 55 Do 64 Lat;Kobiety;11.12.2008;gru;2008;268000
Od 65 Lat Wzwyż;Kobiety;12.12.2008;gru;2008;170000
Od 16 Do 19 Lat;Mężczyźni;13.12.2008;gru;2008;123000
Od 20 Do 24 Lat;Mężczyźni;14.12.2008;gru;2008;393000
Od 25 Do 34 Lat;Mężczyźni;15.12.2008;gru;2008;594000
Od 35 Do 44 Lat;Mężczyźni;16.12.2008;gru;2008;462000
Od 45 Do 54 Lat;Mężczyźni;17.12.2008;gru;2008;417000
Od 55 Do 64 Lat;Mężczyźni;18.12.2008;gru;2008;364000
Od 65 Lat Wzwyż;Mężczyźni;19.12.2008;gru;2008;78000
Od 16 Do 19 Lat;Kobiety;20.12.2008;gru;2008;77000
Od 20 Do 24 Lat;Kobiety;21.12.2008;gru;2008;239000
Od 25 Do 34 Lat;Kobiety;22.12.2008;gru;2008;458000
Od 35 Do 44 Lat;Kobiety;23.12.2008;gru;2008;348000
Od 45 Do 54 Lat;Kobiety;24.12.2008;gru;2008;372000
Od 55 Do 64 Lat;Kobiety;25.12.2008;gru;2008;290000
Od 65 Lat Wzwyż;Kobiety;26.12.2008;gru;2008;167000
Od 16 Do 19 Lat;Mężczyźni;27.12.2008;gru;2008;141000
Od 20 Do 24 Lat;Mężczyźni;28.12.2008;gru;2008;403000
Od 25 Do 34 Lat;Mężczyźni;29.12.2008;gru;2008;479000
Od 35 Do 44 Lat;Mężczyźni;30.12.2008;gru;2008;454000
Od 45 Do 54 Lat;Mężczyźni;31.12.2008;gru;2008;404000
Od 55 Do 64 Lat;Mężczyźni;01.01.2009;sty;2009;385000
Od 65 Lat Wzwyż;Mężczyźni;02.01.2009;sty;2009;91000
Od 16 Do 19 Lat;Kobiety;03.01.2009;sty;2009;37000
Od 20 Do 24 Lat;Kobiety;04.01.2009;sty;2009;211000
Od 25 Do 34 Lat;Kobiety;05.01.2009;sty;2009;421000
Od 35 Do 44 Lat;Kobiety;06.01.2009;sty;2009;307000
Od 45 Do 54 Lat;Kobiety;07.01.2009;sty;2009;363000
Od 55 Do 64 Lat;Kobiety;08.01.2009;sty;2009;302000
Od 65 Lat Wzwyż;Kobiety;09.01.2009;sty;2009;195000
Od 16 Do 19 Lat;Mężczyźni;10.01.2009;sty;2009;132000
Od 20 Do 24 Lat;Mężczyźni;11.01.2009;sty;2009;319000
Od 25 Do 34 Lat;Mężczyźni;12.01.2009;sty;2009;437000
Od 35 Do 44 Lat;Mężczyźni;13.01.2009;sty;2009;410000
Od 45 Do 54 Lat;Mężczyźni;14.01.2009;sty;2009;424000
Od 55 Do 64 Lat;Mężczyźni;15.01.2009;sty;2009;363000
Od 65 Lat Wzwyż;Mężczyźni;16.01.2009;sty;2009;97000
Od 16 Do 19 Lat;Kobiety;17.01.2009;sty;2009;73000
Od 20 Do 24 Lat;Kobiety;18.01.2009;sty;2009;210000
Od 25 Do 34 Lat;Kobiety;19.01.2009;sty;2009;445000
Od 35 Do 44 Lat;Kobiety;20.01.2009;sty;2009;303000
Od 45 Do 54 Lat;Kobiety;21.01.2009;sty;2009;355000
Od 55 Do 64 Lat;Kobiety;22.01.2009;sty;2009;317000
Od 65 Lat Wzwyż;Kobiety;23.01.2009;sty;2009;186000
Od 16 Do 19 Lat;Mężczyźni;24.01.2009;sty;2009;144000
Od 20 Do 24 Lat;Mężczyźni;25.01.2009;sty;2009;289000
Od 25 Do 34 Lat;Mężczyźni;26.01.2009;sty;2009;549000
Od 35 Do 44 Lat;Mężczyźni;27.01.2009;sty;2009;411000
Od 45 Do 54 Lat;Mężczyźni;28.01.2009;sty;2009;399000
Od 55 Do 64 Lat;Mężczyźni;29.01.2009;sty;2009;339000
Od 65 Lat Wzwyż;Mężczyźni;30.01.2009;sty;2009;97000
Od 16 Do 19 Lat;Kobiety;31.01.2009;sty;2009;75000
Od 20 Do 24 Lat;Kobiety;01.02.2009;lut;2009;197000
Od 25 Do 34 Lat;Kobiety;02.02.2009;lut;2009;435000
Od 35 Do 44 Lat;Kobiety;03.02.2009;lut;2009;305000
Od 45 Do 54 Lat;Kobiety;04.02.2009;lut;2009;398000
Od 55 Do 64 Lat;Kobiety;05.02.2009;lut;2009;272000
Od 65 Lat Wzwyż;Kobiety;06.02.2009;lut;2009;179000
Od 16 Do 19 Lat;Mężczyźni;07.02.2009;lut;2009;106000
Od 20 Do 24 Lat;Mężczyźni;08.02.2009;lut;2009;307000
Od 25 Do 34 Lat;Mężczyźni;09.02.2009;lut;2009;514000
Od 35 Do 44 Lat;Mężczyźni;10.02.2009;lut;2009;409000
Od 45 Do 54 Lat;Mężczyźni;11.02.2009;lut;2009;359000
Od 55 Do 64 Lat;Mężczyźni;12.02.2009;lut;2009;359000
Od 65 Lat Wzwyż;Mężczyźni;13.02.2009;lut;2009;82000
Od 16 Do 19 Lat;Kobiety;14.02.2009;lut;2009;62000
Od 20 Do 24 Lat;Kobiety;15.02.2009;lut;2009;217000
Od 25 Do 34 Lat;Kobiety;16.02.2009;lut;2009;370000
Od 35 Do 44 Lat;Kobiety;17.02.2009;lut;2009;290000
Od 45 Do 54 Lat;Kobiety;18.02.2009;lut;2009;357000
Od 55 Do 64 Lat;Kobiety;19.02.2009;lut;2009;240000
Od 65 Lat Wzwyż;Kobiety;20.02.2009;lut;2009;169000
Od 16 Do 19 Lat;Mężczyźni;21.02.2009;lut;2009;97000
Od 20 Do 24 Lat;Mężczyźni;22.02.2009;lut;2009;339000
Od 25 Do 34 Lat;Mężczyźni;23.02.2009;lut;2009;493000
Od 35 Do 44 Lat;Mężczyźni;24.02.2009;lut;2009;363000
Od 45 Do 54 Lat;Mężczyźni;25.02.2009;lut;2009;427000
Od 55 Do 64 Lat;Mężczyźni;26.02.2009;lut;2009;318000
Od 65 Lat Wzwyż;Mężczyźni;27.02.2009;lut;2009;93000
Od 16 Do 19 Lat;Kobiety;28.02.2009;lut;2009;88000
Od 20 Do 24 Lat;Kobiety;01.03.2009;mar;2009;222000
Od 25 Do 34 Lat;Kobiety;02.03.2009;mar;2009;292000
Od 35 Do 44 Lat;Kobiety;03.03.2009;mar;2009;304000
Od 45 Do 54 Lat;Kobiety;04.03.2009;mar;2009;346000
Od 55 Do 64 Lat;Kobiety;05.03.2009;mar;2009;231000
Od 65 Lat Wzwyż;Kobiety;06.03.2009;mar;2009;179000
Od 16 Do 19 Lat;Mężczyźni;07.03.2009;mar;2009;129000
Od 20 Do 24 Lat;Mężczyźni;08.03.2009;mar;2009;366000
Od 25 Do 34 Lat;Mężczyźni;09.03.2009;mar;2009;488000
Od 35 Do 44 Lat;Mężczyźni;10.03.2009;mar;2009;380000
Od 45 Do 54 Lat;Mężczyźni;11.03.2009;mar;2009;458000
Od 55 Do 64 Lat;Mężczyźni;12.03.2009;mar;2009;304000
Od 65 Lat Wzwyż;Mężczyźni;13.03.2009;mar;2009;76000
Od 16 Do 19 Lat;Kobiety;14.03.2009;mar;2009;112000
Od 20 Do 24 Lat;Kobiety;15.03.2009;mar;2009;184000
Od 25 Do 34 Lat;Kobiety;16.03.2009;mar;2009;393000
Od 35 Do 44 Lat;Kobiety;17.03.2009;mar;2009;317000
Od 45 Do 54 Lat;Kobiety;18.03.2009;mar;2009;354000
Od 55 Do 64 Lat;Kobiety;19.03.2009;mar;2009;244000
Od 65 Lat Wzwyż;Kobiety;20.03.2009;mar;2009;173000
Od 16 Do 19 Lat;Mężczyźni;21.03.2009;mar;2009;136000
Od 20 Do 24 Lat;Mężczyźni;22.03.2009;mar;2009;378000
Od 25 Do 34 Lat;Mężczyźni;23.03.2009;mar;2009;418000
Od 35 Do 44 Lat;Mężczyźni;24.03.2009;mar;2009;351000
Od 45 Do 54 Lat;Mężczyźni;25.03.2009;mar;2009;401000
Od 55 Do 64 Lat;Mężczyźni;26.03.2009;mar;2009;347000
Od 65 Lat Wzwyż;Mężczyźni;27.03.2009;mar;2009;76000
Od 16 Do 19 Lat;Kobiety;28.03.2009;mar;2009;99000
Od 20 Do 24 Lat;Kobiety;29.03.2009;mar;2009;224000
Od 25 Do 34 Lat;Kobiety;30.03.2009;mar;2009;404000
Od 35 Do 44 Lat;Kobiety;31.03.2009;mar;2009;316000
Od 45 Do 54 Lat;Kobiety;01.04.2009;kwi;2009;332000
Od 55 Do 64 Lat;Kobiety;02.04.2009;kwi;2009;252000
Od 65 Lat Wzwyż;Kobiety;03.04.2009;kwi;2009;151000
Od 16 Do 19 Lat;Mężczyźni;04.04.2009;kwi;2009;119000
Od 20 Do 24 Lat;Mężczyźni;05.04.2009;kwi;2009;325000
Od 25 Do 34 Lat;Mężczyźni;06.04.2009;kwi;2009;456000
Od 35 Do 44 Lat;Mężczyźni;07.04.2009;kwi;2009;313000
Od 45 Do 54 Lat;Mężczyźni;08.04.2009;kwi;2009;337000
Od 55 Do 64 Lat;Mężczyźni;09.04.2009;kwi;2009;284000
Od 65 Lat Wzwyż;Mężczyźni;10.04.2009;kwi;2009;105000
Od 16 Do 19 Lat;Kobiety;11.04.2009;kwi;2009;88000
Od 20 Do 24 Lat;Kobiety;12.04.2009;kwi;2009;165000
Od 25 Do 34 Lat;Kobiety;13.04.2009;kwi;2009;357000
Od 35 Do 44 Lat;Kobiety;14.04.2009;kwi;2009;273000
Od 45 Do 54 Lat;Kobiety;15.04.2009;kwi;2009;333000
Od 55 Do 64 Lat;Kobiety;16.04.2009;kwi;2009;264000
Od 65 Lat Wzwyż;Kobiety;17.04.2009;kwi;2009;143000
Od 16 Do 19 Lat;Mężczyźni;18.04.2009;kwi;2009;84000
Od 20 Do 24 Lat;Mężczyźni;19.04.2009;kwi;2009;302000
Od 25 Do 34 Lat;Mężczyźni;20.04.2009;kwi;2009;496000
Od 35 Do 44 Lat;Mężczyźni;21.04.2009;kwi;2009;311000
Od 45 Do 54 Lat;Mężczyźni;22.04.2009;kwi;2009;329000
Od 55 Do 64 Lat;Mężczyźni;23.04.2009;kwi;2009;253000
Od 65 Lat Wzwyż;Mężczyźni;24.04.2009;kwi;2009;84000
Od 16 Do 19 Lat;Kobiety;25.04.2009;kwi;2009;75000
Od 20 Do 24 Lat;Kobiety;26.04.2009;kwi;2009;141000
Od 25 Do 34 Lat;Kobiety;27.04.2009;kwi;2009;372000
Od 35 Do 44 Lat;Kobiety;28.04.2009;kwi;2009;278000
Od 45 Do 54 Lat;Kobiety;29.04.2009;kwi;2009;304000
Od 55 Do 64 Lat;Kobiety;30.04.2009;kwi;2009;250000
Od 65 Lat Wzwyż;Kobiety;01.05.2009;maj;2009;183000
Od 16 Do 19 Lat;Mężczyźni;02.05.2009;maj;2009;66000
Od 20 Do 24 Lat;Mężczyźni;03.05.2009;maj;2009;285000
Od 25 Do 34 Lat;Mężczyźni;04.05.2009;maj;2009;386000
Od 35 Do 44 Lat;Mężczyźni;05.05.2009;maj;2009;268000
Od 45 Do 54 Lat;Mężczyźni;06.05.2009;maj;2009;278000
Od 55 Do 64 Lat;Mężczyźni;07.05.2009;maj;2009;289000
Od 65 Lat Wzwyż;Mężczyźni;08.05.2009;maj;2009;114000
Od 16 Do 19 Lat;Kobiety;09.05.2009;maj;2009;81000
Od 20 Do 24 Lat;Kobiety;10.05.2009;maj;2009;130000
Od 25 Do 34 Lat;Kobiety;11.05.2009;maj;2009;339000
Od 35 Do 44 Lat;Kobiety;12.05.2009;maj;2009;250000
Od 45 Do 54 Lat;Kobiety;13.05.2009;maj;2009;239000
Od 55 Do 64 Lat;Kobiety;14.05.2009;maj;2009;203000
Od 65 Lat Wzwyż;Kobiety;15.05.2009;maj;2009;172000
Od 16 Do 19 Lat;Mężczyźni;16.05.2009;maj;2009;98000
Od 20 Do 24 Lat;Mężczyźni;17.05.2009;maj;2009;277000
Od 25 Do 34 Lat;Mężczyźni;18.05.2009;maj;2009;413000
Od 35 Do 44 Lat;Mężczyźni;19.05.2009;maj;2009;312000
Od 45 Do 54 Lat;Mężczyźni;20.05.2009;maj;2009;254000
Od 55 Do 64 Lat;Mężczyźni;21.05.2009;maj;2009;251000
Od 65 Lat Wzwyż;Mężczyźni;22.05.2009;maj;2009;97000
Od 16 Do 19 Lat;Kobiety;23.05.2009;maj;2009;93000
Od 20 Do 24 Lat;Kobiety;24.05.2009;maj;2009;140000
Od 25 Do 34 Lat;Kobiety;25.05.2009;maj;2009;348000
Od 35 Do 44 Lat;Kobiety;26.05.2009;maj;2009;280000
Od 45 Do 54 Lat;Kobiety;27.05.2009;maj;2009;293000
Od 55 Do 64 Lat;Kobiety;28.05.2009;maj;2009;267000
Od 65 Lat Wzwyż;Kobiety;29.05.2009;maj;2009;213000
Od 16 Do 19 Lat;Mężczyźni;30.05.2009;maj;2009;105000
Od 20 Do 24 Lat;Mężczyźni;31.05.2009;maj;2009;254000
Od 25 Do 34 Lat;Mężczyźni;01.06.2009;cze;2009;342000
Od 35 Do 44 Lat;Mężczyźni;02.06.2009;cze;2009;288000
Od 45 Do 54 Lat;Mężczyźni;03.06.2009;cze;2009;265000
Od 55 Do 64 Lat;Mężczyźni;04.06.2009;cze;2009;215000
Od 65 Lat Wzwyż;Mężczyźni;05.06.2009;cze;2009;95000
Od 16 Do 19 Lat;Kobiety;06.06.2009;cze;2009;68000
Od 20 Do 24 Lat;Kobiety;07.06.2009;cze;2009;136000
Od 25 Do 34 Lat;Kobiety;08.06.2009;cze;2009;354000
Od 35 Do 44 Lat;Kobiety;09.06.2009;cze;2009;250000
Od 45 Do 54 Lat;Kobiety;10.06.2009;cze;2009;258000
Od 55 Do 64 Lat;Kobiety;11.06.2009;cze;2009;224000
Od 65 Lat Wzwyż;Kobiety;12.06.2009;cze;2009;257000
Od 16 Do 19 Lat;Mężczyźni;13.06.2009;cze;2009;89000
Od 20 Do 24 Lat;Mężczyźni;14.06.2009;cze;2009;266000
Od 25 Do 34 Lat;Mężczyźni;15.06.2009;cze;2009;350000
Od 35 Do 44 Lat;Mężczyźni;16.06.2009;cze;2009;228000
Od 45 Do 54 Lat;Mężczyźni;17.06.2009;cze;2009;275000
Od 55 Do 64 Lat;Mężczyźni;18.06.2009;cze;2009;218000
Od 65 Lat Wzwyż;Mężczyźni;19.06.2009;cze;2009;79000
Od 16 Do 19 Lat;Kobiety;20.06.2009;cze;2009;83000
Od 20 Do 24 Lat;Kobiety;21.06.2009;cze;2009;116000
Od 25 Do 34 Lat;Kobiety;22.06.2009;cze;2009;350000
Od 35 Do 44 Lat;Kobiety;23.06.2009;cze;2009;294000
Od 45 Do 54 Lat;Kobiety;24.06.2009;cze;2009;297000
Od 55 Do 64 Lat;Kobiety;25.06.2009;cze;2009;191000
Od 65 Lat Wzwyż;Kobiety;26.06.2009;cze;2009;193000
Od 16 Do 19 Lat;Mężczyźni;27.06.2009;cze;2009;84000
Od 20 Do 24 Lat;Mężczyźni;28.06.2009;cze;2009;241000
Od 25 Do 34 Lat;Mężczyźni;29.06.2009;cze;2009;313000
Od 35 Do 44 Lat;Mężczyźni;30.06.2009;cze;2009;240000
Od 45 Do 54 Lat;Mężczyźni;01.07.2009;lip;2009;276000
Od 55 Do 64 Lat;Mężczyźni;02.07.2009;lip;2009;252000
Od 65 Lat Wzwyż;Mężczyźni;03.07.2009;lip;2009;84000
Od 16 Do 19 Lat;Kobiety;04.07.2009;lip;2009;37000
Od 20 Do 24 Lat;Kobiety;05.07.2009;lip;2009;197000
Od 25 Do 34 Lat;Kobiety;06.07.2009;lip;2009;334000
Od 35 Do 44 Lat;Kobiety;07.07.2009;lip;2009;234000
Od 45 Do 54 Lat;Kobiety;08.07.2009;lip;2009;278000
Od 55 Do 64 Lat;Kobiety;09.07.2009;lip;2009;203000
Od 65 Lat Wzwyż;Kobiety;10.07.2009;lip;2009;188000
Od 16 Do 19 Lat;Mężczyźni;11.07.2009;lip;2009;75000
Od 20 Do 24 Lat;Mężczyźni;12.07.2009;lip;2009;226000
Od 25 Do 34 Lat;Mężczyźni;13.07.2009;lip;2009;282000
Od 35 Do 44 Lat;Mężczyźni;14.07.2009;lip;2009;257000
Od 45 Do 54 Lat;Mężczyźni;15.07.2009;lip;2009;292000
Od 55 Do 64 Lat;Mężczyźni;16.07.2009;lip;2009;242000
Od 65 Lat Wzwyż;Mężczyźni;17.07.2009;lip;2009;122000
Od 16 Do 19 Lat;Kobiety;18.07.2009;lip;2009;62000
Od 20 Do 24 Lat;Kobiety;19.07.2009;lip;2009;174000
Od 25 Do 34 Lat;Kobiety;20.07.2009;lip;2009;297000
Od 35 Do 44 Lat;Kobiety;21.07.2009;lip;2009;225000
Od 45 Do 54 Lat;Kobiety;22.07.2009;lip;2009;237000
Od 55 Do 64 Lat;Kobiety;23.07.2009;lip;2009;234000
Od 65 Lat Wzwyż;Kobiety;24.07.2009;lip;2009;141000
Od 16 Do 19 Lat;Mężczyźni;25.07.2009;lip;2009;81000
Od 20 Do 24 Lat;Mężczyźni;26.07.2009;lip;2009;201000
Od 25 Do 34 Lat;Mężczyźni;27.07.2009;lip;2009;357000
Od 35 Do 44 Lat;Mężczyźni;28.07.2009;lip;2009;205000
Od 45 Do 54 Lat;Mężczyźni;29.07.2009;lip;2009;285000
Od 55 Do 64 Lat;Mężczyźni;30.07.2009;lip;2009;266000
Od 65 Lat Wzwyż;Mężczyźni;31.07.2009;lip;2009;110000
Od 16 Do 19 Lat;Kobiety;01.08.2009;sie;2009;60000
Od 20 Do 24 Lat;Kobiety;02.08.2009;sie;2009;182000
Od 25 Do 34 Lat;Kobiety;03.08.2009;sie;2009;284000
Od 35 Do 44 Lat;Kobiety;04.08.2009;sie;2009;226000
Od 45 Do 54 Lat;Kobiety;05.08.2009;sie;2009;214000
Od 55 Do 64 Lat;Kobiety;06.08.2009;sie;2009;173000
Od 65 Lat Wzwyż;Kobiety;07.08.2009;sie;2009;128000
Od 16 Do 19 Lat;Mężczyźni;08.08.2009;sie;2009;85000
Od 20 Do 24 Lat;Mężczyźni;09.08.2009;sie;2009;241000
Od 25 Do 34 Lat;Mężczyźni;10.08.2009;sie;2009;362000
Od 35 Do 44 Lat;Mężczyźni;11.08.2009;sie;2009;282000
Od 45 Do 54 Lat;Mężczyźni;12.08.2009;sie;2009;249000
Od 55 Do 64 Lat;Mężczyźni;13.08.2009;sie;2009;222000
Od 65 Lat Wzwyż;Mężczyźni;14.08.2009;sie;2009;97000
Od 16 Do 19 Lat;Kobiety;15.08.2009;sie;2009;75000
Od 20 Do 24 Lat;Kobiety;16.08.2009;sie;2009;143000
Od 25 Do 34 Lat;Kobiety;17.08.2009;sie;2009;302000
Od 35 Do 44 Lat;Kobiety;18.08.2009;sie;2009;240000
Od 45 Do 54 Lat;Kobiety;19.08.2009;sie;2009;297000
Od 55 Do 64 Lat;Kobiety;20.08.2009;sie;2009;212000
Od 65 Lat Wzwyż;Kobiety;21.08.2009;sie;2009;157000
Od 16 Do 19 Lat;Mężczyźni;22.08.2009;sie;2009;93000
Od 20 Do 24 Lat;Mężczyźni;23.08.2009;sie;2009;255000
Od 25 Do 34 Lat;Mężczyźni;24.08.2009;sie;2009;319000
Od 35 Do 44 Lat;Mężczyźni;25.08.2009;sie;2009;270000
Od 45 Do 54 Lat;Mężczyźni;26.08.2009;sie;2009;272000
Od 55 Do 64 Lat;Mężczyźni;27.08.2009;sie;2009;229000
Od 65 Lat Wzwyż;Mężczyźni;28.08.2009;sie;2009;100000
Od 16 Do 19 Lat;Kobiety;29.08.2009;sie;2009;80000
Od 20 Do 24 Lat;Kobiety;30.08.2009;sie;2009;141000
Od 25 Do 34 Lat;Kobiety;31.08.2009;sie;2009;294000
Od 35 Do 44 Lat;Kobiety;01.09.2009;wrz;2009;235000
Od 45 Do 54 Lat;Kobiety;02.09.2009;wrz;2009;253000
Od 55 Do 64 Lat;Kobiety;03.09.2009;wrz;2009;170000
